n,heapsort.ticks
125000,4326697
150000,5272839
175000,6234705
200000,7203169
225000,8176177
250000,9152903
275000,10142395
300000,11147253
325000,12156579
350000,13170499
375000,14185715
400000,15206059
425000,16228075
450000,17251167
475000,18278493
500000,19305919
525000,20336501
550000,21385889
575000,22439113
600000,23492721
625000,24552411
650000,25612229
675000,26673963
700000,27738393
725000,28804917
750000,29872497
775000,30942301
800000,32011443
825000,33081935
850000,34154887
875000,35230595
900000,36305641
925000,37379443
950000,38455069
975000,39533815
1000000,40613237
1025000,41690393
1050000,42772945
1075000,43871219
1100000,44970747
1125000,46071871
1150000,47175551
1175000,48280747
1200000,49386675
1225000,50496215
