n,heapsort.time
125000,221
150000,266
175000,379
200000,423
225000,511
250000,569
275000,655
300000,742
325000,827
350000,949
375000,1062
400000,1206
425000,1304
450000,1319
475000,1419
500000,1568
525000,1664
550000,1741
575000,1859
600000,1952
625000,2121
650000,2303
675000,2397
700000,2495
725000,2497
750000,2686
775000,2820
800000,2942
825000,2965
850000,3065
875000,3213
900000,3355
925000,3445
950000,3549
975000,3674
1000000,3751
1025000,3902
1050000,4003
1075000,4201
1100000,4293
1125000,4580
1150000,4700
1175000,4752
1200000,4910
1225000,4967
