n,sortusingbst.ticks
100,2872
200,6852
300,11948
400,15756
500,22808
600,25744
700,29840
800,36376
900,42068
1000,46144
1100,60772
1200,58592
1300,66144
1400,76820
1500,75524
1600,81216
1700,95812
1800,108452
1900,97032
2000,107396
2100,109056
2200,111980
2300,135624
2400,138756
2500,137156
2600,142520
2700,160448
2800,148348
2900,159536
3000,169408
3100,166816
3200,181924
3300,190012
3400,188988
3500,220236
3600,206912
3700,204664
3800,230480
3900,248312
4000,232624
4100,242456
4200,242908
4300,265056
4400,267668
4500,285960
4600,280196
4700,295100
4800,319940
4900,292400
5000,310136
5100,310532
5200,313304
5300,312408
5400,324428
5500,327228
5600,368752
5700,349904
5800,351648
5900,364632
6000,367312
6100,385812
6200,432400
6300,403640
6400,395436
6500,413192
6600,411108
6700,419240
6800,422708
6900,454600
7000,436528
7100,453384
7200,447984
7300,448128
7400,447984
7500,468252
7600,467316
7700,529844
7800,474020
7900,499260
8000,513852
8100,513024
8200,517576
8300,552256
8400,531072
8500,564096
8600,548256
8700,533204
8800,560800
8900,583920
9000,603492
9100,600364
9200,629156
9300,616604
9400,653144
9500,629304
9600,644252
9700,633172
9800,658976
9900,652076
