n,sortusingbst.time
100,0
200,0
300,0
400,0
500,0
600,1
700,0
800,0
900,0
1000,0
1100,0
1200,0
1300,0
1400,1
1500,0
1600,0
1700,0
1800,0
1900,0
2000,1
2100,0
2200,0
2300,0
2400,0
2500,1
2600,1
2700,1
2800,0
2900,1
3000,1
3100,1
3200,1
3300,0
3400,0
3500,1
3600,1
3700,1
3800,1
3900,1
4000,1
4100,1
4200,1
4300,1
4400,1
4500,1
4600,1
4700,1
4800,1
4900,1
5000,1
5100,1
5200,1
5300,2
5400,1
5500,1
5600,1
5700,2
5800,1
5900,2
6000,2
6100,2
6200,1
6300,1
6400,2
6500,2
6600,2
6700,2
6800,3
6900,2
7000,2
7100,2
7200,2
7300,2
7400,2
7500,2
7600,2
7700,2
7800,2
7900,3
8000,2
8100,3
8200,2
8300,2
8400,2
8500,2
8600,3
8700,2
8800,3
8900,2
9000,3
9100,2
9200,2
9300,3
9400,3
9500,3
9600,3
9700,3
9800,3
9900,3
