n,sortusingunorderedlist.time
100,0
200,0
300,0
400,0
500,0
600,1
700,0
800,1
900,1
1000,2
1100,2
1200,2
1300,2
1400,3
1500,3
1600,4
1700,4
1800,5
1900,5
2000,5
2100,7
2200,8
2300,10
2400,10
2500,8
2600,9
2700,10
2800,12
2900,15
3000,13
3100,14
3200,13
3300,15
3400,16
3500,17
3600,16
3700,20
3800,21
3900,21
4000,27
4100,28
4200,23
4300,24
4400,28
4500,34
4600,29
4700,36
4800,34
4900,35
5000,36
5100,46
5200,41
5300,45
5400,42
5500,48
5600,44
5700,47
5800,53
5900,51
6000,60
6100,52
6200,69
6300,53
6400,64
6500,75
6600,67
6700,78
6800,72
6900,70
7000,76
7100,73
7200,90
7300,82
7400,86
7500,99
7600,87
7700,92
7800,102
7900,102
8000,96
8100,100
8200,107
8300,104
8400,120
8500,118
8600,112
8700,122
8800,131
8900,130
9000,150
9100,135
9200,144
9300,135
9400,150
9500,134
9600,146
9700,164
9800,150
9900,160
