Iteration,Pancake Values,Syrup Values,PancakeAndSyrup Values
0,3,1305888217,1978703399
1,2,-2030443129,-810277613
2,11,564774862,-1379451614
3,11,1974297715,-1471232197
4,1,-398529227,-821157942
5,5,-1663605664,282061122
6,10,-520625506,-374651992
7,8,1954382809,-861818932
8,8,-1170317949,-1711130864
9,11,1745655214,463787906
10,2,562508513,-791676435
11,3,-826342036,861051594
12,6,2074371578,-54952532
13,1,33900190,-168938259
14,1,-1071594213,-2028483079
15,5,608327481,100011439
16,11,675863773,33970457
17,8,-205914069,2055448559
18,6,292979721,570342469
19,9,-1969557170,-1395927400
20,11,-1069905917,-523504064
21,10,1182356339,-2105758297
22,5,-1918884613,-1943510326
23,3,944285661,371145740
24,4,-450970961,-1370574806
25,6,-1527099500,-579888551
26,6,1008666637,982357724
27,10,1091897647,540633287
28,6,-1768488297,939451597
29,1,-1877493884,-721392501
30,10,-1246116036,-1121731870
31,11,2112785880,-30849725
32,10,-359574928,1057576759
33,6,-1580262607,1921514467
34,6,260417039,-285408755
35,8,1641935011,1337407566
36,6,-1481392655,1092985654
37,7,557191246,1544487850
38,5,-616805405,1492389907
39,2,-781474018,2109027104
40,9,-769436453,825497346
41,6,1142906849,-704922914
42,6,-1324112915,235539299
43,6,-73979992,147595897
44,4,5347830,1773937918
45,10,2018556347,1963572579
46,5,1033461684,333194223
47,1,545672124,-1726449722
48,1,-943999717,-1585455174
49,6,-1720553686,-1283123550
50,6,-1612696359,-54436831
51,2,1117736205,1327567659
52,8,1495695260,2133127409
53,5,840572994,826898950
54,10,-1614242826,1525638815
55,8,-671770476,-928160748
56,8,32332328,2092483432
57,4,1936501300,-809131798
58,9,1286094305,971496153
59,9,-354182125,2079784414
60,6,144208446,2120956232
61,7,-29784598,1461236245
62,7,964569798,-2001076529
63,6,969825249,455404266
64,9,-709357804,1881464250
65,1,1782991991,1560177548
66,6,601393674,-698375270
67,4,1710896135,-1536969287
68,4,-1291592864,1133385774
69,7,-909249371,1113280381
70,6,-612274557,549082282
71,6,-1074500208,-996164607
72,3,310699161,-719602145
73,8,1149207168,85272727
74,5,768131218,1025815627
75,4,-1765266496,-2107587842
76,2,-1731821313,-1666446401
77,8,-997585360,1152187364
78,5,1110747157,-1134229168
79,6,-1953393585,-836819546
80,10,669865068,1966649823
81,8,-623967098,-1843775304
82,2,-412214730,2100571495
83,1,-2087357795,-804363217
84,11,-1421260320,-88036880
85,6,-1853182972,44297329
86,1,1759444425,304237586
87,5,-1787757866,-2113243563
88,9,-894336400,-24260038
89,4,1091323595,-284418961
90,6,1157376421,2019334064
91,2,666917861,1951864023
92,9,1295715994,-1198832860
93,8,1409684547,788608684
94,1,-1759545450,-979456236
95,4,695365256,1169345854
96,5,-532512085,-1988132194
97,8,-1690821673,935278771
98,10,-1878137516,-153314578
99,10,941065075,74263336
100,11,-1691331591,685677639
101,6,-458008015,925207789
102,3,-1550081172,-595381909
103,2,-952191205,311844761
104,11,-1577777287,-158198868
105,9,-1207510573,452506411
106,2,890061958,1685018024
107,2,-1831738449,1222918297
108,11,670738591,249707201
109,6,-1979625649,456624166
110,10,1217894091,-1404878108
111,7,-1535422312,-1304165013
112,6,-1727152066,1171679465
113,4,2048241563,-1103064071
114,6,-2019641765,-2010057890
115,6,-1439104430,1913102394
116,6,-1901379281,-2065936474
117,9,1156990292,-1000947854
118,4,1055918829,1971988924
119,8,1872401701,-1494959635
120,11,-260618582,1718347508
121,11,1712818539,796274398
122,10,-851485091,-1414609147
123,10,1080470274,-215427085
124,8,-674960838,-1877709428
125,3,828800303,-133449414
126,4,-173346785,-1253761274
127,5,809601177,1298313635
128,5,-304070695,1411152630
129,2,1604355576,1502869264
130,6,-482082434,512723437
131,3,1474477844,-1183146077
132,7,-1779392627,-1272624710
133,4,1218737135,1984938486
134,6,1738837239,1531888590
135,3,731461505,1512940068
136,5,752760512,740415561
137,2,-1701115626,-1664789572
138,10,1529572824,-1541392910
139,2,-728055842,-1692942936
140,7,838652888,-495398615
141,6,-652976231,-2021448647
142,2,-390281812,-1339558354
143,1,1358199017,1508588753
144,4,-1713411485,-554156905
145,8,1881982852,-1199375228
146,3,2181588,83397356
147,7,466391425,1949578518
148,6,-1342691689,-469907333
149,6,-1719869263,1534521165
150,9,-570962282,2121234732
151,7,-1839945965,517327464
152,11,1382154960,1733701747
153,8,-1474245638,1649643700
154,3,-797903146,-1599147278
155,3,-1202394957,1132341370
156,5,762539667,204104665
157,7,-1422510068,-879975499
158,5,639515150,419847082
159,3,-816218063,1209225518
160,8,-2033005690,1695826634
161,2,-1793847894,1640889254
162,6,685371908,-1331809114
163,8,1445801227,955505738
164,7,1985995515,778590631
165,7,-2128083968,1238433885
166,1,200072204,-1028319925
167,7,-1187684068,-1806098582
168,6,-2006881624,423528552
169,6,423021731,-682651301
170,11,-1913192557,-992138853
171,6,-873346720,984310741
172,4,6965964,-1236612940
173,3,1698966628,1753003395
174,9,-592620591,-153775774
175,5,1917468952,-1642924453
176,7,-1923748519,437396535
177,11,-1061700404,-1192486398
178,1,2097648568,506598731
179,2,1901326043,1206163145
180,9,-2123371356,-1504143907
181,5,1696928155,-1772462130
182,11,353084462,-425884017
183,9,1683593750,329016347
184,7,-1567503657,-1274743272
185,6,1921631432,-1425914113
186,3,560125623,-184069091
187,10,1157271658,1086951500
188,6,-578454447,-1807914769
189,11,1465724806,1957430577
190,4,891647810,366437862
191,5,1913406929,666461614
192,10,-98948266,486023807
193,7,-671185176,-2036175504
194,8,-929230548,-521530388
195,6,-2000926961,-1903428423
196,6,99564891,1859945982
197,3,-750039978,1006264804
198,6,-642712361,1757538415
199,6,-400683896,-1404536389
200,9,-820299641,1409146314
201,10,424423910,1939321779
202,11,1929398643,-1139324704
203,2,-419887472,-1312202663
204,1,1129884654,-1758103998
205,7,132105397,1924384826
206,1,433697305,1015243296
207,8,-402023427,-945762790
208,9,1188989126,-1940169221
209,7,2051587639,444574907
210,5,293904584,-1360808661
211,2,1684922356,1818546840
212,3,-1616688964,126517122
213,11,-1903835111,1411708461
214,10,954435589,985155186
215,1,365849332,-376130204
216,6,-1745092484,-24224006
217,1,-1221143940,-525929242
218,2,-1445525278,-1217112253
219,7,744529010,-1679475778
220,7,883322038,14609713
221,10,2045765185,340681042
222,10,-148218387,828051299
223,3,-607105255,570814634
224,5,920435769,-1862615489
225,3,1994121792,2124441287
226,11,1259192088,-1991263942
227,9,-17584674,875504222
228,4,-2064129727,1372123939
229,6,-634542928,253152639
230,7,2117279719,-221367862
231,6,-361775236,167426588
232,6,741700918,-441227342
233,9,-1520147774,185496420
234,5,-993338546,-168917567
235,7,-1515301353,429458401
236,9,-1033704989,2054322926
237,3,-99875523,640710924
238,7,460709170,-79844404
